ENSEMBL_ID	CD_LPS_1	WD_LPS_1	CD_LPS_2	WD_LPS_2
ENSMUSG00000002985	541872	750081	410122	460096
ENSMUSG00000069516	501844	425799	423347	440271
ENSMUSG00000024661	887387	840975	695074	811409
ENSMUSG00000021939	510762	538431	505392	581030
ENSMUSG00000004207	362562	348072	348169	386492
ENSMUSG00000029580	492468	491600	462742	532821
ENSMUSG00000073411	293037	326314	255496	307530
ENSMUSG00000020641	349386	467741	488088	603953
ENSMUSG00000029816	193152	235036	234666	268269
ENSMUSG00000060802	285451	285132	235844	316583
ENSMUSG00000037742	193698	166338	171706	188265
ENSMUSG00000038642	205874	218478	178614	237708
ENSMUSG00000049775	225465	189692	149522	177402
ENSMUSG00000022108	132404	135407	116046	144521
ENSMUSG00000007891	148644	121497	107988	117367
ENSMUSG00000046805	136307	167388	167483	218149
ENSMUSG00000064351	76060	123004	139369	155266
ENSMUSG00000061232	228822	232101	180517	216612
ENSMUSG00000036905	156218	158766	119246	132492
ENSMUSG00000022126	283627	322044	337899	386187
ENSMUSG00000024610	100294	153254	88417	95127
ENSMUSG00000045932	196201	265620	287933	392642
ENSMUSG00000034855	181787	223861	208466	264623
ENSMUSG00000064373	76686	79643	77089	82553
ENSMUSG00000050708	91608	68305	63564	64918
ENSMUSG00000034708	114650	127283	115343	141488
ENSMUSG00000020638	163643	228991	238624	297656
ENSMUSG00000050578	178608	212412	203869	241327
ENSMUSG00000040026	488134	344353	263066	259359
ENSMUSG00000024621	44560	43550	50393	52582
ENSMUSG00000050335	84595	87890	72982	78408
ENSMUSG00000015568	61225	41923	67650	67363
ENSMUSG00000022587	109727	115145	93573	122678
ENSMUSG00000060126	100487	87418	75978	87616
ENSMUSG00000028599	168525	172255	179408	199117
ENSMUSG00000004730	71251	72545	79521	92180
ENSMUSG00000035042	234498	227684	188819	230492
ENSMUSG00000034459	123974	145211	153463	185995
ENSMUSG00000036896	76483	78808	57270	65062
ENSMUSG00000026981	211232	253171	211122	257689
ENSMUSG00000018930	107234	112674	94969	103659
ENSMUSG00000031447	81073	76259	69368	81006
ENSMUSG00000037902	56600	59192	57388	65918
ENSMUSG00000019122	138435	142234	115566	134429
ENSMUSG00000017754	62181	90111	68584	80456
ENSMUSG00000015656	138440	122996	117426	124766
ENSMUSG00000021190	67322	80611	63830	80275
ENSMUSG00000036887	60448	72022	43324	51416
ENSMUSG00000021242	112236	107615	83904	101258
ENSMUSG00000047945	161336	175431	132467	148288
ENSMUSG00000021998	91816	96829	98691	121863
ENSMUSG00000025498	133533	141054	125361	156500
ENSMUSG00000015340	83404	88325	106636	128127
ENSMUSG00000074896	106727	133355	117701	150200
ENSMUSG00000027447	72894	69513	50830	61238
ENSMUSG00000016256	98308	89679	77504	86678
ENSMUSG00000033880	76881	99609	93151	114623
ENSMUSG00000025492	98767	92425	73024	86909
ENSMUSG00000027639	98930	109069	123623	145171
ENSMUSG00000021477	76352	88741	69741	76717
ENSMUSG00000072620	109964	106819	98298	112324
ENSMUSG00000017707	32159	34814	33802	41818
ENSMUSG00000040552	55640	76789	69234	93013
ENSMUSG00000028581	36411	40772	39967	46204
ENSMUSG00000017009	102276	96575	88968	91508
ENSMUSG00000037242	84651	96948	118947	134795
ENSMUSG00000000982	68466	77549	76510	85734
ENSMUSG00000056201	82532	74114	60889	71366
ENSMUSG00000030560	103228	97189	106134	119844
ENSMUSG00000035692	156415	136739	105455	122756
ENSMUSG00000028270	115840	123160	130153	159272
ENSMUSG00000036908	44266	48623	42427	49970
ENSMUSG00000028692	58527	49125	48023	54243
ENSMUSG00000058715	71282	69973	60894	78565
ENSMUSG00000034994	32146	30077	33638	35223
ENSMUSG00000029304	96145	72131	73165	86959
ENSMUSG00000062825	72134	73174	67754	81262
ENSMUSG00000054404	60759	65532	81715	103239
ENSMUSG00000027808	71843	70687	67656	87535
ENSMUSG00000025743	43301	51783	48957	62267
ENSMUSG00000016559	87217	87200	74105	85949
ENSMUSG00000026341	59135	63100	59222	76949
ENSMUSG00000015947	86334	89179	74601	93605
ENSMUSG00000005610	86468	80609	92200	107820
ENSMUSG00000106106	77610	38386	32972	48959
ENSMUSG00000052681	74975	74249	68789	87097
ENSMUSG00000032294	52366	42986	40331	41826
ENSMUSG00000030096	32316	45414	51138	62533
ENSMUSG00000038612	49551	51287	47936	55858
ENSMUSG00000028691	57415	43965	47753	48503
ENSMUSG00000028249	53725	59570	48943	61384
ENSMUSG00000024308	75548	78235	71369	82064
ENSMUSG00000043263	76772	87672	87906	109458
ENSMUSG00000051439	68187	54490	50635	50151
ENSMUSG00000046718	83801	72628	55495	68646
ENSMUSG00000073489	75717	75685	76929	92903
ENSMUSG00000023010	69710	68039	61119	69590
ENSMUSG00000030748	79475	84475	80307	83477
ENSMUSG00000016528	76411	61128	63745	64902
ENSMUSG00000020120	70639	75757	78498	90480
ENSMUSG00000030142	116666	114962	109795	123820
ENSMUSG00000018774	37117	43933	40922	48235
ENSMUSG00000067212	69153	65694	52993	63222
ENSMUSG00000025232	31389	26589	25413	29461
ENSMUSG00000006818	99963	92097	85467	92294
ENSMUSG00000039899	80714	91303	101248	148189
ENSMUSG00000025132	48974	47371	44930	48581
ENSMUSG00000024737	80611	88225	85116	95519
ENSMUSG00000029622	43318	39148	39454	42023
ENSMUSG00000070327	36198	41224	69365	94361
ENSMUSG00000026728	64706	77186	74378	85083
ENSMUSG00000026864	52276	44439	48839	52139
ENSMUSG00000024781	11539	13441	14995	15856
ENSMUSG00000002111	64425	60120	54075	57027
ENSMUSG00000024164	61899	70852	91651	101876
ENSMUSG00000067274	39355	31343	29179	31570
ENSMUSG00000034422	34352	36728	55234	67198
ENSMUSG00000000386	51441	68838	78511	95738
ENSMUSG00000105504	64657	78407	91599	107104
ENSMUSG00000016534	48625	51368	50069	65231
ENSMUSG00000032487	40760	39971	55574	54410
ENSMUSG00000024659	48997	41585	48199	53639
ENSMUSG00000059498	49211	50022	46655	48736
ENSMUSG00000021281	46439	43209	54908	50547
ENSMUSG00000008682	34606	25954	26160	26068
ENSMUSG00000078920	80801	71838	65665	73569
ENSMUSG00000000078	51636	59297	61398	77678
ENSMUSG00000053113	65656	65573	69552	68866
ENSMUSG00000031207	46128	57514	65281	78982
ENSMUSG00000040659	45940	40909	38910	45036
ENSMUSG00000028494	37112	49297	36776	47275
ENSMUSG00000042286	7177	8127	9199	9503
ENSMUSG00000042129	35527	32637	45085	48947
ENSMUSG00000069662	46563	47679	46335	53530
ENSMUSG00000001175	50601	46516	42263	48973
ENSMUSG00000006699	44065	41290	37721	45813
ENSMUSG00000020719	33051	37934	38963	45829
ENSMUSG00000005142	21300	22857	27884	29774
ENSMUSG00000039501	39464	49801	58971	71686
ENSMUSG00000058818	50747	55551	51662	60916
ENSMUSG00000033066	42235	44819	49650	57307
ENSMUSG00000024953	85185	77511	57275	66090
ENSMUSG00000001128	37101	39827	29268	31949
